,title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,price_category,mileage_category
43098,Honda Civic,3000000,Bahawalpur,2011,100000,Petrol,Automatic,Karachi,Silver,Imported,1800,Medium,Medium
43099,Hyundai Elantra GLS,6350000,Faisalabad,2021,44000,Petrol,Automatic,Islamabad,Teal Blue,Local,2000,High,Low
43103,Toyota Yaris ATIV X CVT 1.5,4700000,Karachi,2021,34000,Petrol,Automatic,Sindh,Super White,Local,1500,High,Low
43104,Toyota Prado TX 2.7,13500000,Islamabad,2009,90000,Petrol,Automatic,Islamabad,Ebony,Imported,2700,High,Medium
43105,Suzuki Alto VX,2390000,Sargodha,2023,7800,Petrol,Not Available,Islamabad,White,Local,660,Medium,Low
43106,DFSK Glory 580 Pro,6800000,Islamabad,2023,13500,Petrol,Automatic,Islamabad,White,Local,1500,High,Low
43107,Toyota Corolla XLi VVTi,2050000,Rawalpindi,2008,200000,Petrol,Not Available,Lahore,Silver Metallic,Local,1300,Low,High
43110,Toyota Corolla GLi Automatic 1.3 VVTi,4000000,Hyderabad,2017,65000,Petrol,Automatic,Karachi,Attitude Black,Local,1300,Medium,Medium
43111,Toyota Corolla XE,1090000,Abbottabad,1994,15,Petrol,Automatic,Punjab,Green,Local,1500,Low,Low
43113,Suzuki Mehran VX (CNG),580000,Peshawar,2004,50000,Petrol,Not Available,Islamabad,White,Local,800,Low,Low
43114,Suzuki Cultus EURO II,1540000,Yazman mandi,2016,70000,Petrol,Not Available,Sindh,White,Local,1000,Low,Medium
43117,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,2430000,Lahore,2007,142000,Petrol,Automatic,Punjab,Modern Steel Metallic,Local,1800,Medium,High
43121,Suzuki Alto VXR,2500000,Islamabad,2021,40000,Petrol,Not Available,Islamabad,Solid White,Local,660,Medium,Low
43123,Honda City EXi,1980000,Farooqabad,2000,20000,Petrol,Not Available,Farooqabad,White,Local,1300,Low,Low
